device: cuda
train=107718  valid=11973  test=120363

=== single model ===
/home/nagle/miniconda3/envs/toehold_gpu/lib/python3.10/site-packages/torch/nn/modules/lazy.py:178: UserWarning: Lazy modules are a new feature under heavy development so changes to the API or functionality can happen at any moment.
  warnings.warn('Lazy modules are a new feature under heavy development '
  [member2] epoch  35  val_pearson=0.8912
  [member2] epoch  36  val_pearson=0.8907
  [member2] decay LR -> 3.00e-04
  [member2] epoch  37  val_pearson=0.8949 *
  [member2] epoch  38  val_pearson=0.8924
  [member2] epoch  39  val_pearson=0.8938
  [member2] epoch  40  val_pearson=0.8951 *
  [member2] epoch  41  val_pearson=0.8955 *
  [member2] epoch  42  val_pearson=0.8957 *
  [member2] epoch  43  val_pearson=0.8945
  [member2] epoch  44  val_pearson=0.8949
  [member2] epoch  45  val_pearson=0.8957 *
  [member2] epoch  46  val_pearson=0.8945
  [member2] epoch  47  val_pearson=0.8953
  [member2] epoch  48  val_pearson=0.8940
  [member2] epoch  49  val_pearson=0.8931
  [member2] epoch  50  val_pearson=0.8945
  [member2] epoch  51  val_pearson=0.8944
  [member2] epoch  52  val_pearson=0.8964 *
  [member2] epoch  53  val_pearson=0.8958
  [member2] epoch  54  val_pearson=0.8959
  [member2] epoch  55  val_pearson=0.8965 *
  [member2] epoch  56  val_pearson=0.8951
  [member2] epoch  57  val_pearson=0.8965
  [member2] epoch  58  val_pearson=0.8955
  [member2] epoch  59  val_pearson=0.8969 *
  [member2] epoch  60  val_pearson=0.8975 *
  [member2] epoch  61  val_pearson=0.8973
  [member2] epoch  62  val_pearson=0.8971
  [member2] epoch  63  val_pearson=0.8961
  [member2] epoch  64  val_pearson=0.8969
  [member2] epoch  65  val_pearson=0.8962
  [member2] epoch  66  val_pearson=0.8953
  [member2] epoch  67  val_pearson=0.8971
  [member2] decay LR -> 9.00e-05
  [member2] epoch  68  val_pearson=0.8973
  [member2] epoch  69  val_pearson=0.8967
  [member2] epoch  70  val_pearson=0.8968
  [member2] epoch  71  val_pearson=0.8970
  [member2] epoch  72  val_pearson=0.8959
  [member2] epoch  73  val_pearson=0.8977 *
  [member2] epoch  74  val_pearson=0.8974
  [member2] epoch  75  val_pearson=0.8974
  [member2] epoch  76  val_pearson=0.8970
  [member2] epoch  77  val_pearson=0.8970
  [member2] epoch  78  val_pearson=0.8974
  [member2] epoch  79  val_pearson=0.8977
  [member2] epoch  80  val_pearson=0.8977
  [member2] decay LR -> 2.70e-05
  [member2] epoch  81  val_pearson=0.8966
  [member2] epoch  82  val_pearson=0.8974
  [member2] epoch  83  val_pearson=0.8977 *
  [member2] epoch  84  val_pearson=0.8976
  [member2] epoch  85  val_pearson=0.8974
  [member2] epoch  86  val_pearson=0.8973
  [member2] epoch  87  val_pearson=0.8968
  [member2] epoch  88  val_pearson=0.8969
  [member2] epoch  89  val_pearson=0.8975
  [member2] epoch  90  val_pearson=0.8967
  [member2] decay LR -> 8.10e-06
  [member2] epoch  91  val_pearson=0.8970
  [member2] epoch  92  val_pearson=0.8971
  [member2] epoch  93  val_pearson=0.8980 *
  [member2] epoch  94  val_pearson=0.8980
  [member2] epoch  95  val_pearson=0.8973
  [member2] epoch  96  val_pearson=0.8970
  [member2] epoch  97  val_pearson=0.8976
  [member2] epoch  98  val_pearson=0.8983 *
  [member2] epoch  99  val_pearson=0.8976
  [member2] epoch 100  val_pearson=0.8974
  [member2] epoch 101  val_pearson=0.8979
  [member2] epoch 102  val_pearson=0.8973
  [member2] epoch 103  val_pearson=0.8981
  [member2] epoch 104  val_pearson=0.8982
  [member2] epoch 105  val_pearson=0.8974
  [member2] decay LR -> 2.43e-06
  [member2] epoch 106  val_pearson=0.8982
  [member2] epoch 107  val_pearson=0.8980
  [member2] epoch 108  val_pearson=0.8978
  [member2] epoch 109  val_pearson=0.8968
  [member2] epoch 110  val_pearson=0.8972
  [member2] epoch 111  val_pearson=0.8977
  [member2] epoch 112  val_pearson=0.8977
  [member2] decay LR -> 1.00e-06
  [member2] epoch 113  val_pearson=0.8985 *
  [member2] epoch 114  val_pearson=0.8981
  [member2] epoch 115  val_pearson=0.8980
  [member2] epoch 116  val_pearson=0.8983
  [member2] epoch 117  val_pearson=0.8973
  [member2] epoch 118  val_pearson=0.8985
  [member2] epoch 119  val_pearson=0.8972
  [member2] epoch 120  val_pearson=0.8979
  [member2] decay LR -> 1.00e-06
  [member2] epoch 121  val_pearson=0.8976
  [member2] epoch 122  val_pearson=0.8980
  [member2] epoch 123  val_pearson=0.8979
  [member2] epoch 124  val_pearson=0.8972
  [member2] epoch 125  val_pearson=0.8977
  [member2] epoch 126  val_pearson=0.8980
  [member2] epoch 127  val_pearson=0.8979
  [member2] decay LR -> 1.00e-06
  [member2] epoch 128  val_pearson=0.8980
  [member2] epoch 129  val_pearson=0.8969
  [member2] epoch 130  val_pearson=0.8982
  [member2] epoch 131  val_pearson=0.8973
